01	01
04	04
02	02, 102
03	03
05	05
06	06
07	07
08	08
09	09
10	10
11	11
91	82
12	12
13	13, 113
14	14
15	15
16	16, 116, 716
17	17
18	18
19	19
20	95
21	21, 121
22	22
75	75, 80
41	41
23	23, 93, 123
24	24, 124, 84, 88
59	59, 81, 159
25	25, 125
26	26, 126
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34, 134
35	35
36	36, 136
37	37
38	38, 138, 85
39	39, 91
40	40
42	42, 142
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50, 90, 150, 190, 750
51	51
52	52, 152
53	53
54	54, 154
55	55
56	56
57	57
58	58
60	60
61	61, 161
62	62
63	63, 163, 763
64	64, 164
65	65
66	66, 96, 196
67	67
68	68
69	69
70	70
71	71
72	72
73	73, 173
74	74, 174
76	76
77	77, 97, 99, 177, 197, 199, 777, 799
78	78, 98, 178, 198
92	92
79	79
83	83
86	86, 186
87	87
89	89
